,Institute,Sci_topic,Author,Year,Conf_level,Material,M_Type,MatGroupFKM,Batch,Manufacturer,Prod_Proc,Furn_capa,Deoxid_proc,Ingot_size,Red_ratio,HProc,Form,DorTh,Length,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Al,V,Nb,N_,Ti,Ca,O,dA,dB,dC,dD,DS,Exp_n,Exp_b,DefType,Proc_name,Microstruct,Tstart,Tend,Vcf,NTemp,Ntime,CTemp,Ctime,THTemp,THtime,THQCr,QmTemp,THTemp2,THtime2,THQCr2,QmTemp2,TTemp,Ttime,TCr,Gm,Gstd,Texture,GrainRatio,Poros,Geometry_type,CS_form,CS_surface,QS_LD,Re_U,Re_U_dev,Rp02,Rp02_dev,Rm,Rm_dev,R_true_fracture,Rtf_dev,AG,AG_dev,A5,A5_dev,Z,Z_dev,A_KerbSchlag,A_KS_dev,HV20,HV20_dev,HardProc,t_eff,t_eff_dev,HV20_core,HV20_core_dev,Rp02_base,Rm_base,AG_base,A5_base,Z_base,Deff,Kt,G0,G0_r,G0_d,A90_Mises,V90_Mises,Kp,Rz,Finish,Finish_speci,SpecF,LD,Prstrain,RS_depth,RS_I,RSII,Sa,N,outcome,fail_loc,defect_type,R_ratio,Nu,Control,Machine,f_test,L_Type,Sd,Sd_unc,k,k_unc,NE,NE_unc,1Ts,1Ts_unc,method,n_spec,n_lvls_frac,n_lvls_inf,Nu_cur,Sa_min,Nm_Sa_min
DaBef113,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.48,0.29,0.67,0.01,0.03,0.0,0.09,0.0,0.17,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,840.0,60.0,450.0,30.0,,,,,550.0,90.0,0.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,540.0,,747.0,,,,,,23.0,,,,,,,,,,,,,,,,,,12.5,3.31,4.68,4.6,0.08,,,,2.5,,,cylinder,0,0,,,,"[150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]","[433000, 654000, 1280000, 4500000, 4500000, 4500000, 4500000, 4500000, 4500000, 4500000, 199000, 203000, 226000, 239000, 2090000, 2090000, 2090000, 2090000, 2090000, 2090000, 102000, 117000, 210000, 235000, 254000, 282000, 290000, 316000, 325000, 413000, 47800, 51300, 70200, 73700, 77400, 81200, 83600, 87400, 93600, 100000, 23600, 24000, 24300, 24700, 26100, 26500, 26500, 29300, 30400, 32000]","['failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.0,2090000.0,Force,,20.0,1.0,165.55,5.698,4.398,1.03,420466.0,231215.0,1.258,0.029,4 params,50.0,5.0,2.0,2090000.0,,
DaBef114,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.48,0.29,0.67,0.01,0.03,0.0,0.09,0.0,0.17,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,840.0,60.0,450.0,30.0,,,,,550.0,90.0,0.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,540.0,,747.0,,,,,,23.0,,,,,,,,,,,,,,,,,,12.5,1.49,0.54,0.46,0.08,,,,2.5,,,cylinder,0,0,,,,"[250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 450.0, 450.0, 450.0, 450.0, 450.0, 450.0, 450.0, 450.0, 450.0, 450.0]","[2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 792000, 1090000, 2300000, 2300000, 2300000, 2300000, 2300000, 2300000, 2300000, 2300000, 98900, 105000, 120000, 125000, 144000, 155000, 160000, 162000, 178000, 197000, 57500, 59800, 61600, 67400, 68500, 71000, 72100, 78000, 87800, 95000, 13000, 15900, 18300, 18300, 18400, 18400, 18500, 18800, 18900, 19300]","['runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.0,2000000.0,Force,,20.0,1.0,307.9,23.142,8.758,4.137,541879.0,424096.0,1.082,0.025,4 params,50.0,4.0,2.0,2000000.0,,
DaBef115,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.48,0.29,0.67,0.01,0.03,0.0,0.09,0.0,0.17,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,840.0,60.0,450.0,30.0,,,,,550.0,90.0,0.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,540.0,,747.0,,,,,,23.0,,,,,,,,,,,,,,,,,,12.5,3.31,4.68,4.6,0.08,,,,2.5,,,cylinder,0,0,,,,"[170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 192.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]","[2270000, 2270000, 2270000, 2270000, 2270000, 2270000, 2270000, 2270000, 2270000, 2270000, 404000, 439000, 487000, 493000, 604000, 617000, 686000, 702000, 725000, 728000, 771000, 782000, 784000, 793000, 956000, 1029000, 1271000, 1397000, 1757000, 1775000, 119000, 119000, 120000, 121000, 132000, 138000, 141000, 149000, 150000, 162000, 26100, 26100, 26400, 26600, 26700, 26800, 26900, 27000, 27300, 28800]","['runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2270000.0,Force,,20.0,1.0,176.49,5.13,3.587,1.004,1034885.0,544655.0,1.222,0.022,4 params,50.0,3.0,1.0,2270000.0,,
DaBef116,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.48,0.29,0.67,0.01,0.03,0.0,0.09,0.0,0.17,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,840.0,60.0,450.0,30.0,,,,,550.0,90.0,0.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,540.0,,747.0,,,,,,23.0,,,,,,,,,,,,,,,,,,12.5,2.19,1.613,1.53,0.08,,,,2.5,,,cylinder,0,0,,,,"[220.0, 220.0, 220.0, 220.0, 220.0, 230.0, 230.0, 230.0, 230.0, 230.0, 250.0, 250.0, 250.0, 250.0, 250.0, 300.0, 300.0, 300.0, 300.0, 300.0, 400.0, 400.0, 400.0, 400.0, 400.0, 500.0, 500.0, 500.0, 500.0, 500.0]","[2601200, 2601200, 2601200, 2601200, 2601200, 2934000, 2934000, 2934000, 2934000, 2934000, 1173000, 1214000, 1244000, 1323000, 2225000, 270000, 282000, 287000, 402000, 703000, 70800, 83500, 101900, 104500, 110200, 24100, 26300, 27100, 27500, 34400]","['runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2601200.0,Force,,20.0,1.0,240.58,7.346,5.53,1.623,1506582.0,780455.0,1.123,0.026,4 params,30.0,4.0,2.0,2601200.0,,
DaBef117,,,,,,,Verguetungsstahl,Steel,,,,,,,,,,,,0.48,0.29,0.67,0.01,0.03,0.0,0.09,0.0,0.17,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,840.0,60.0,450.0,30.0,,,,,550.0,90.0,0.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,540.0,,747.0,,,,,,23.0,,,,,,,,,,,,,,,,,,12.5,1.49,0.54,0.46,0.08,,,,2.5,,,cylinder,0,0,,,,"[320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 320.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 350.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 385.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0]","[360000, 367000, 493000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 2000000, 600000, 646000, 782000, 959000, 1122000, 2000000, 2000000, 2000000, 2000000, 2000000, 89000, 98000, 112000, 159000, 173000, 180000, 182000, 196000, 201000, 208000, 210000, 219000, 224000, 228000, 233000, 253000, 254000, 265000, 265000, 290000, 12400, 13400, 15500, 15800, 16200, 17200, 17300, 17300, 17400, 17700]","['failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2000000.0,Force,,20.0,1.0,338.58,10.543,5.933,1.67,466522.0,253685.0,1.191,0.022,4 params,50.0,4.0,2.0,2000000.0,,
DaBef1188,,,,,,,nichtrostender Stahl,Stainless_Steel,,,,,,,,,,,,0.24,0.35,0.47,0.03,0.01,0.61,11.99,0.99,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,1050.0,30.0,200.0,30.0,,,,,690.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,711.0,,907,,,,,,16.97,,,,,,,,,,,,,,,,,,5.714,1.0,0.0,0,0,,,,,,,cylinder,0,0,,,,"[470.0, 450.0, 430.0, 410.0, 430.0, 410.0, 390.0, 410.0, 430.0, 410.0, 390.0, 410.0, 430.0, 450.0, 430.0]","[180737, 198006, 674915, 2000000, 382131, 185790, 2000000, 2000000, 276683, 1010478, 2000000, 2000000, 2000000, 453983, 2000000]","['failure', 'failure', 'failure', 'runout', 'failure', 'failure', 'runout', 'runout', 'failure', 'failure', 'runout', 'runout', 'runout', 'failure', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,2000000.0,Force,,20.0,3.0,419.25,20.112,7.101,4.676,449705.0,240108.0,1.199,0.23,4 params,15.0,4.0,3.0,2000000.0,,
DaBef1189,,,,,,,nichtrostender Stahl,Stainless_Steel,,,,,,,,,,,,0.24,0.35,0.47,0.03,0.01,0.61,11.99,0.99,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,1050.0,30.0,200.0,30.0,,,,,690.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,711.0,,907,,,,,,16.97,,,,,,,,,,,,,,,,,,5.714,1.0,0.0,0,0,,,,,,,cylinder,0,0,,,,"[330.0, 340.0, 350.0, 340.0, 330.0, 340.0, 350.0, 340.0, 330.0, 320.0, 330.0, 340.0, 350.0, 340.0, 350.0, 340.0, 330.0]","[2000000, 2000000, 107410, 231031, 2000000, 2000000, 109387, 592967, 620369, 2000000, 2000000, 2000000, 153144, 2000000, 141454, 1552705, 1353206]","['runout', 'runout', 'failure', 'failure', 'runout', 'runout', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'failure', 'runout', 'failure', 'failure', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.0,2000000.0,Force,,20.0,3.0,337.17,15.58,29.4,13.788,505873.0,270568.0,1.06,0.188,4 params,17.0,3.0,3.0,2000000.0,,
DaBef1190,,,,,,,nichtrostender Stahl,Stainless_Steel,,,,,,,,,,,,0.24,0.35,0.47,0.03,0.01,0.61,11.99,0.99,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,1050.0,30.0,200.0,30.0,,,,,690.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,711.0,,907,,,,,,16.97,,,,,,,,,,,,,,,,,,5.714,1.0,0.0,0,0,,,,,,,cylinder,0,0,,,,"[197.0, 200.0, 203.0, 207.0, 203.0, 200.0, 197.0, 200.0, 203.0, 207.0, 203.0, 200.0, 197.0, 194.0, 190.0]","[2000000, 2000000, 2000000, 621136, 355936, 410921, 2000000, 2000000, 2000000, 361440, 1284823, 779791, 282849, 824339, 2000000]","['runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.5,2000000.0,Force,,20.0,3.0,198.55,12.921,5.713,4.992,589056.0,325202.0,1.243,0.363,4 params,15.0,5.0,4.0,2000000.0,,
DaBef1191,,,,,,,nichtrostender Stahl,Stainless_Steel,,,,,,,,,,,,0.24,0.35,0.47,0.03,0.01,0.61,11.99,0.99,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,1050.0,30.0,200.0,30.0,,,,,690.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,711.0,,907,,,,,,16.97,,,,,,,,,,,,,,,,,,5.714,1.0,0.0,0,0,,,,,,,cylinder,0,0,,,,"[130.0, 135.0, 130.0, 135.0, 130.0, 135.0, 130.0, 135.0, 130.0, 135.0, 130.0, 135.0, 140.0, 135.0, 130.0]","[2000000, 823207, 2000000, 1042, 2000000, 113299, 2000000, 1118, 2000000, 37662, 2000000, 2000000, 240, 1474652, 2000000]","['runout', 'failure', 'runout', 'failure', 'runout', 'failure', 'runout', 'failure', 'runout', 'failure', 'runout', 'runout', 'failure', 'failure', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.7,2000000.0,Force,,20.0,3.0,133.35,4.958,182.789,50.074,495739.0,250164.0,1.035,0.073,4 params,15.0,2.0,2.0,2000000.0,,
DaBef1193,,,,,,,nichtrostender Stahl,Stainless_Steel,,,,,,,,,,,,0.24,0.35,0.47,0.03,0.01,0.61,11.99,0.99,0.0,,,,,,,,,,,,,,,,,,,,,30.0,,30.0,0.0,1050.0,30.0,200.0,30.0,,,,,690.0,90.0,5.0,,,,,,A5-standard specimen,Cylindric,50.25,0,,,711.0,,907,,,,,,16.97,,,,,,,,,,,,,,,,,,5.714,1.25,0.05,0.05,0,,,,,,,cylinder,0,0,,,,"[130.0, 125.0, 130.0, 135.0, 140.0, 135.0, 140.0, 145.0, 140.0, 135.0, 140.0, 145.0, 140.0, 145.0, 140.0, 145.0]","[1551570, 2000000, 2000000, 2000000, 1897, 2000000, 2000000, 47, 135943, 2000000, 2000000, 810599, 2000000, 986883, 2000000, 2]","['failure', 'runout', 'runout', 'runout', 'failure', 'runout', 'runout', 'failure', 'failure', 'runout', 'runout', 'failure', 'runout', 'failure', 'runout', 'failure']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",0.7,2000000.0,Force,,20.0,3.0,139.74,9.764,69.216,40.195,25620.0,14347.0,1.179,0.213,4 params,16.0,3.0,4.0,2000000.0,,
